Category,Year,Name,Nationality,Motivation,Explain
물리학,1901,빌헬름 콘라트 뢴트겐,-,X선의 발견,"<h3>병원에서 사용하는 엑스레이(X선)를 처음 발견한 과학자</h3> <h1>빌헬름 콘라트 뢴트겐</h1>
     <img src=""https://tse1.mm.bing.net/th?id=OIP.-nYTooiHmbxF1faLGIrf5wHaLG&w=474&h=474&c=7"" alt=""""노벨 물리학상 메달"""" width=""300"">
    <img src=""https://tse4.mm.bing.net/th?id=OIP.2u96C0FLwZjsB-ZKpnPNmgHaJq&w=474&h=474&c=7"" alt=""""X선으로 촬영한 손 사진"""" width=""300"">
    <img src=""https://tse1.mm.bing.net/th?id=OIP.fyDdJbM6fyjynxjT83YpsAHaE8&w=316&h=316&c=7"" alt=""""X선 발견 실험 장면"""" width=""300"">
    <img src=""https://tse2.mm.bing.net/th?id=OIP.Odtfn_NC5txu80cF0EQJpwHaJU&w=474&h=474&c=7"" alt=""""빌헬름 콘라트 뢴트겐의 사진"""" width=""300"">
    <h2>뢴트겐은 누구일까요?</h2>
    <p>뢴트겐은 1845년 독일에서 태어난 물리학자예요. 어릴 때부터 과학에 관심이 많았고, 열심히 공부해서 대학에서 물리학을 가르치는 교수님이 되었답니다.</p>
    <h2>X선은 어떻게 발견했을까요?</h2>
    <p>1895년, 뢴트겐은 실험을 하던 중 우연히 새로운 빛을 발견했어요. 이 빛은 우리가 눈으로 볼 수 없지만, 종이나 피부 같은 얇은 물질을 통과할 수 있었죠. 뢴트겐은 이 빛을 'X선'이라고 이름 지었어요.</p>
    <h2>X선은 어디에 사용될까요?</h2>
    <p>뢴트겐은 아내의 손을 X선으로 찍어 보았어요. 그 결과, 뼈와 반지의 모습이 사진에 나타났죠. 이렇게 X선은 몸속을 들여다볼 수 있게 해주어, 의사 선생님들이 뼈가 부러졌는지 확인하거나, 몸속의 이상을 찾아내는 데 큰 도움을 주고 있어요.</p>
    <h2>뢴트겐의 업적</h2>
    <p>뢴트겐은 X선을 발견한 공로로 1901년 첫 번째 노벨 물리학상을 받았어요. 그의 발견 덕분에 우리는 병원에서 엑스레이를 찍어 건강을 지킬 수 있게 되었답니다.</p>
    <h2>마무리</h2>
    <p>뢴트겐의 호기심과 노력 덕분에 우리는 몸속을 들여다볼 수 있는 X선을 사용할 수 있게 되었어요. 여러분도 주변의 사소한 것들에 호기심을 가지고 탐구해 보면, 언젠가 큰 발견을 할 수 있을지도 몰라요!</p>"
물리학,1902,헨드릭 로런츠 / 피터르 제이만,-,"빛에 대한 자장의 영향, 제이만 효과","<h3>자기장이 빛에 미치는 영향을 연구한 과학자들</h3>
<h1>헨드릭 로런츠와 피터르 제이만</h1>
<img src=""https://tse4.mm.bing.net/th?id=OIP.1-O5kPpKBLGFfwV75TXugAAAAA&pid=Api"" alt=""노벨 물리학상 메달"" width=""300"">
<img src=""https://tse3.mm.bing.net/th?id=OIP.BI4_97eVZAax3TptzYS2cgHaHa&pid=Api"" alt=""제이만 효과 실험 장면"" width=""300"">
<img src=""https://tse3.mm.bing.net/th?id=OIP.2QXW2S9cU8jVvr5t91JppwHaHa&pid=Api"" alt=""헨드릭 로런츠의 초상"" width=""300"">
<img src=""https://tse2.mm.bing.net/th?id=OIP.b3ao0FQESYYnRaGN5fKMTgHaEm&pid=Api"" alt=""피터르 제이만의 초상"" width=""300"">
<h2>헨드릭 로런츠와 피터르 제이만은 누구일까요?</h2>
<p>헨드릭 로런츠는 네덜란드의 이론 물리학자로, 전자 이론의 선구자이며, 자기장이 빛에 미치는 영향을 연구했습니다. 피터르 제이만은 강한 자기장 속에서 빛의 스펙트럼이 갈라지는 현상인 '제이만 효과'를 발견한 네덜란드 물리학자입니다.</p>
<h2>어떤 연구 성과가 있었나요?</h2>
<p>이들은 자기장이 빛의 방사에 미치는 영향을 탐구하여, 자기장에 의해 스펙트럼이 변하는 현상(제이만 효과)을 밝혀냈습니다.</p>
<h2>어떤 용도로 사용될까요?</h2>
<p>제이만 효과는 원자 구조와 자기장의 상호작용을 이해하는 데 기여하며, 현재 물리학과 천문학 연구에 활용되고 있습니다.</p>
<h2>업적</h2>
<p>로런츠와 제이만은 전자기학과 양자역학 발전에 중요한 기여를 하였으며, 이 연구로 1902년 노벨 물리학상을 수상했습니다.</p>
<h2>마무리</h2>
<p>이들의 연구는 현대 물리학의 기반을 다지는 데 중요한 역할을 했습니다. 과학에 대한 호기심과 탐구가 혁신적인 발견을 만들어낸 예입니다.</p>"
물리학,1903,앙리 베크렐 / 피에르 퀴리 / 마리 퀴리,-,준비중,"<h3>방사능 연구의 선구자들</h3> <h1>앙리 베크렐, 피에르 퀴리, 마리 퀴리</h1> <img src=""https://tse4.mm.bing.net/th?id=OIP.mOykLNrjRCT4rUNRHHoSdQHaF9&w=381&h=381&c=7"" alt=""앙리 베크렐"" width=""300""> <img src=""https://tse1.mm.bing.net/th?id=OIP.poN6iIrQBpEwC3jwFwUjcgHaKm&w=474&h=474&c=7"" alt=""피에르 퀴리"" width=""300""> <img src=""https://tse2.mm.bing.net/th?id=OIP.Fpoyh4Fh4PaKWvlgf213jwAAAA&w=440&h=440&c=7"" alt=""마리 퀴리"" width=""300""> <h2>앙리 베크렐은 누구일까요?</h2> <p>앙리 베크렐은 1852년 프랑스에서 태어난 물리학자입니다. 1896년, 우라늄 염이 스스로 에너지를 방출하는 현상을 발견하여 방사능의 존재를 처음으로 밝혀냈습니다.</p> <h2>피에르 퀴리와 마리 퀴리는 누구일까요?</h2> <p>피에르 퀴리와 마리 퀴리는 부부 과학자로, 피에르는 1859년, 마리는 1867년에 태어났습니다. 이들은 베크렐의 연구를 이어받아 방사능 현상을 심도 있게 연구하였고, 새로운 방사성 원소인 폴로늄과 라듐을 발견하였습니다.</p> <h2>이들의 업적은 무엇인가요?</h2> <p>이 세 과학자는 방사능 연구를 통해 원자 구조와 에너지에 대한 새로운 이해를 제공하였으며, 이는 현대 물리학과 의학의 발전에 큰 기여를 하였습니다.</p> <h2>노벨 물리학상 수상</h2> <p>이들의 공로를 인정받아 1903년 앙리 베크렐, 피에르 퀴리, 마리 퀴리는 공동으로 노벨 물리학상을 수상하였습니다.</p> <h2>마무리</h2> <p>이들의 연구는 방사능에 대한 이해를 높였을 뿐만 아니라, 현대 과학의 여러 분야에 지대한 영향을 미쳤습니다. 그들의 열정과 노력은 오늘날에도 많은 과학자들에게 영감을 주고 있습니다.</p>"
물리학,1904,제3대 레일리 남작 존 윌리엄 스트럿,-,준비중,"<h3>하늘이 왜 파란지 설명한 과학자</h3> <h1>제3대 레일리 남작 존 윌리엄 스트럿</h1> <img src=""https://tse1.mm.bing.net/th?id=OIP.R7NscRSDRUY_BWg79zSdMQHaG0&w=436&h=436&c=7"" alt=""존 윌리엄 스트럿의 초상화"" width=""300""> <img src=""https://tse2.mm.bing.net/th?id=OIP.GYHMkmzi0J_S8MuX4oK6rAHaLC&w=474&h=474&c=7"" alt=""레일리 산란을 설명하는 다이어그램"" width=""300""> <img src=""https://tse4.mm.bing.net/th?id=OIP.NF-AF70EOpy-tMzXfvNRrQHaKb&w=474&h=474&c=7"" alt=""아르곤 방전관"" width=""300""> <img src=""https://tse2.mm.bing.net/th?id=OIP.oq7Zu1KcmL1hLSrWGpYlGgHaJ-&w=474&h=474&c=7"" alt=""노벨 물리학상 메달"" width=""300""> <h2>레일리 남작은 누구일까요?</h2> <p>존 윌리엄 스트럿은 1842년 영국에서 태어난 물리학자입니다. 그는 다양한 물리 현상을 연구하며, 특히 빛과 소리의 파동에 대한 깊은 이해를 추구했습니다.</p> <h2>어떤 연구를 했을까요?</h2> <p>레일리 남작은 하늘이 파란 이유를 설명하는 '레일리 산란' 현상을 발견했습니다. 또한, 공기 중에 존재하는 새로운 기체인 아르곤을 발견하여 과학계에 큰 기여를 했습니다.</p> <h2>이 연구는 어디에 사용될까요?</h2> <p>레일리 산란 이론은 대기 과학과 광학 분야에서 중요한 역할을 하며, 아르곤은 산업 분야에서 널리 사용되고 있습니다.</p> <h2>레일리 남작의 업적</h2> <p>그는 아르곤의 발견으로 1904년 노벨 물리학상을 수상하였으며, 레일리 산란 이론은 오늘날까지도 과학 교육에서 중요한 내용으로 다뤄지고 있습니다.</p> <h2>마무리</h2> <p>레일리 남작의 연구는 우리 일상에서 자연 현상을 이해하는 데 큰 도움을 주고 있습니다. 그의 호기심과 탐구 정신은 과학 발전에 큰 영감을 주고 있습니다.</p>"
물리학,1905,필리프 레나르트,-,준비중,"<h3>음극선 연구를 통해 전자를 밝혀낸 과학자</h3>
<h1>필리프 레나르트</h1>
<img src=""https://tse3.mm.bing.net/th?id=OIP.l1aPo17sNQGMn00_9w3qWQHaGL&w=395&h=395&c=7"" alt=""노벨 물리학상 메달"" width=""300"">
<img src=""https://tse2.mm.bing.net/th?id=OIP.JqEF4SckTIMzE7YZo2wy4gHaLH&w=474&h=474&c=7"" alt=""음극선 실험 장치 다이어그램"" width=""300"">
<img src=""https://tse3.mm.bing.net/th?id=OIP.ny8We0MZ55LvoAUW97t5rAHaE8&w=316&h=316&c=7"" alt=""레나르트 음극선 실험"" width=""300"">
<img src=""https://tse3.mm.bing.net/th?id=OIP.bYWdt__G1THyW6F8_v9u5QHaJJ&w=474&h=474&c=7"" alt=""음극선 전자 빔"" width=""300"">
<h2>필리프 레나르트는 누구일까요?</h2>
<p>필리프 레나르트는 1862년 헝가리에서 태어난 물리학자로, 음극선과 전자에 대한 연구로 1905년 노벨 물리학상을 받았습니다.</p>
<h2>어떻게 전자를 발견했을까요?</h2>
<p>레나르트는 음극선이 금속을 통과할 때의 특성을 연구하며, 음극선이 전자라는 입자의 흐름임을 밝혀냈습니다.</p>
<h2>어떤 분야에 활용될까요?</h2>
<p>레나르트의 연구는 현대 전자기학과 양자역학의 발전에 큰 기여를 했으며, 전자의 존재와 성질을 이해하는 데 중요한 기초가 되었습니다.</p>
<h2>레나르트의 업적</h2>
<p>그는 음극선 연구로 전자 이론의 기초를 확립하고, 1905년 노벨 물리학상을 수상했습니다.</p>
<h2>마무리</h2>
<p>레나르트의 연구는 현대 물리학의 발전에 큰 영향을 주었으며, 그의 업적은 오늘날에도 중요한 과학적 기초로 여겨지고 있습니다.</p>"
물리학,1906,조지프 존 톰슨,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1907,앨버트 에이브러햄 마이컬슨,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1908,가브리엘 리프만,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1909,굴리엘모 마르코니 / 카를 페르디난트 브라운,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1910,요하너스 디데릭 판데르 발스,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1911,빌헬름 빈,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1912,구스타프 달렌,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1913,헤이커 카메를링 오너스,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1914,막스 폰 라우에,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1915,윌리엄 로런스 브래그 / 윌리엄 헨리 브래그,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1917,찰스 글러버 바클라,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1918,막스 플랑크,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1919,요하네스 슈타르크,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1920,샤를 에두아르 기욤,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1921,알베르트 아인슈타인,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1922,닐스 보어,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1923,로버트 앤드루스 밀리컨,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1924,만네 시그반,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1925,제임스 프랑크 / 구스타프 헤르츠,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1926,장 바티스트 페랭,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1927,아서 콤프턴 / 찰스 톰슨 리스 윌슨,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1928,오언 윌런스 리처드슨,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1929,루이 드 브로이,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1930,찬드라세카라 벵카타 라만,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1932,베르너 하이젠베르크,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1933,에르빈 슈뢰딩거 / 폴 디랙,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1934,제임스 채드윅,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1936,빅토르 프란츠 헤스 / 칼 데이비드 앤더슨,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1937,클린턴 조지프 데이비슨 / 조지 패짓 톰슨,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1938,엔리코 페르미,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1939,어니스트 로런스,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1943,오토 슈테른,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1944,이지도어 아이작 라비,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1945,볼프강 파울리,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1946,퍼시 윌리엄스 브리지먼,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1947,에드워드 빅터 애플턴,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1948,패트릭 메이너드 스튜어트 블래킷,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1949,유카와 히데키,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1950,세실 프랭크 파월,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1951,존 콕크로프트 / 어니스트 월턴,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
물리학,1952,펠릭스 블로흐 / 에드워드 밀스 퍼셀,-,준비중,"<!DOCTYPE html>
<html lang=""ko"">
<head>
    <meta charset=""UTF-8"">
</head>
<body>
    <h1> 준비중 </h1>
   
</body>
</html>
"
